SYD,-33.86,151.21,39,highest,42.1,39.8,33.9,30.0,26.9,25.9,31.3,34.6,38.2,41.8,42.2,45.8
SYD,-33.86,151.21,39,lowest,17.2,15.6,16.2,13.8,11.3,9.7,7.7,9.1,9.5,12.1,12.6,15.2,7.7
SYD,-33.78,151.11,65,highest,41.5,41.4,40.7,33.5,28.5,24.8,26.0,30.1,34.4,39.1,42.0,43.1
SYD,-33.78,151.11,65,lowest,8.5,8.9,6.1,2.5,0.3,-1.7,-3.5,-1.1,0.1,0.9,1.2,6.5
BNE,-27.48,153.04,8,highest,40.0,41.7,37.9,33.7,30.7,29.0,28.2,35.4,35.1,38.7,38.9,40.0
BNE,-27.48,153.04,8,lowest,17.0,16.5,12.2,10.0,5.0,5.0,2.6,4.1,7.0,8.8,10.8,14.0
BNE,-27.39,153.13,5,highest,37.4,40.2,34.2,32.2,30.6,27.9,27.6,33.7,33.4,36.7,37.9,36.5
BNE,-27.39,153.13,5,lowest,23.1,22.7,22.5,19.9,17.6,12.9,11.8,13.8,16.4,18.4,20.2,20.3
PER,-31.92,115.87,25,highest,44.4,44.5,42.4,37.3,34.3,26.2,25.8,27.2,34.2,37.2,40.3,44.2
PER,-31.92,115.87,25,lowest,8.9,9.9,6.3,4.7,1.3,-0.7,0.0,1.3,1.0,2.2,5.0,7.9
PER,-31.93,115.98,15,highest,46.0,46.7,43.8,37.7,35.3,27.8,25.7,28.3,34.5,37.7,40.8,44.5
PER,-31.93,115.98,15,lowest,6.0,5.7,3.1,1.2,-0.4,-1.3,-1.0,0.1,-0.2,1.2,3.2,4.8
MEL,-37.73,144.91,78,highest,45.8,47.3,40.7,35.2,26.7,22.6,21.9,24.4,30.3,36.4,39.3,44.0
MEL,-37.73,144.91,78,lowest,5.7,5.3,3.7,0.6,0.1,-3.3,-2.6,-2.2,-1.6,-0.3,2.2,4.0
MEL,-37.76,144.83,113,highest,44.6,46.8,40.8,34.5,27.0,21.8,22.7,25.6,30.2,36.0,39.6,43.8
MEL,-37.76,144.83,113,lowest,13.9,13.5,12.7,11.7,8.0,6.2,5.7,6.5,8.2,10.4,11.6,13.0
HBA,-42.89,147.33,51,highest,41.8,40.1,37.3,31.0,25.7,20.6,22.1,24.5,31.0,34.6,36.8,40.6
HBA,-42.89,147.33,51,lowest,3.3,3.4,1.8,0.7,-1.6,-2.8,-2.8,-1.8,-0.8,0.0,0.3,3.3
HBA,-42.83,147.50,4,highest,40.3,39.8,37.0,30.7,25.6,19.6,20.4,23.7,31.1,33.4,38.5,39.2
HBA,-42.83,147.50,4,lowest,3.7,3.4,2.2,-0.6,-2.2,-3.9,-3.2,-2.0,-2.3,-1.0,1.7,2.7
